,Landlord,City,State,Zip,Country,Review,Repair,Health,Stability,Privacy,Respect
4080,ROSA AGUIAR,BURNABY,BRITISH COLUMBIA,V5E3K8,CA,"Rosa responded quickly to issues (oven and clothes washer broke during our time renting from her and they were replaced the next day).
She charged a fair rent and never tried to increase beyond the legislated maximum.",5,4,5,5,5
4081,SHIN-NAE BYUN,TORONTO,ONTARIO,M2M4B1,CA,**********,1,1,1,1,1
4082,CAPREIT,TORONTO,ONTARIO,M8V 1E5,CA,This complex is like living in housing. It's dirty. A lot of drug dealers. They don't think of the tenants problems. Capreit is the worst place to rent from. I believe they only want the rent money. They think it's condos but it's far from it. Cockroaches. Bed bugs. They can't get rid of it. Parking sucks etc etc. So much wrong with this place. Help someone who cares . please help,1,2,2,3,2
4083,GREENWIN,NORTH YORK,ONTARIO,M5M 4N7,CA,Worst landlords in the market I would never ever recommend anyone to live here not even a roach,1,1,1,1,1
4084,NADEEM TARMO,CALGARY,ALBERTA,T3C 1W5,CA,"Moved in and we eventually had some issues with the downstairs neighbors,  we decided to buy our own place to get out. We were looking for someone to sub lease from us and this is where major troubles started. He refused to rent the unit to any families even though there is a school literally across the street. It got to the point he was unreasonably turning down perfectly good candidates and discriminating against families we had to get legal help. All this stress lead me to have a miscarriage just before we got free. Icing on the cake he was planning to up rent at the end of our lease and didn't think to inform us or the other tenants. I wouldn't recommend renting from him unless you absolutely have to, and make sure to have a lawyer on retainer just incase.",3,3,1,1,1
4085,KW PROPERTY MANAGEMENT,KITCHENER,ONTARIO,N2E 1G6,CA,The worst . 11 units never no hot water cause crack head likes to keep shower running been reported nothing. Another tenant living with hole-in bathroom ceiling and another using washroom in buckets in apartment and has apartment destroyed and other tenants have to suffer,2,1,3,3,3
4086,CHRIS AND CHRISSY THOMPSON,MISSISSAUGA,ONTARIO,L5G 3M8,CA,"The landlords of 36 Cumberland Drive Mississauga are disrespectful, negligent, and lie in almost every interaction with their tenants. For several years until LTB order encouraged action they had no annual fire/life safety inspections, landscaping or snow removal. They abandoned their property during the pandemic to sail in the Caribbean with no in-town support. They are never around so privacy is good unless they are sending uninsured and unqualified persons to make bandaid repairs months after requests. Zero sound proofing so all hear every conversation the neighbors have. Great area. Great neighbors with the exception of one cocain addict who would have questionable late night company at his apartment all night keeping the other tenants up all night.",1,1,4,4,1
4087,METCAP,VANCOUVER,BRITISH COLUMBIA,V6G1G9,CA,"Very awful company. They have no humanity and will do anything to keep their power and control over the people just trying to have shelter. They renovict people and ""flip"" the units, kicking tenants out so they can charge WAY more for only surface changes. We had no heat for months. We weren't allowed to put our own curtains up but the ones provided were see through. Clerical errors on their part resulted in us getting a notice to end tenancy for unpaid rent (we had already paid it on time). They tried to steal our damage deposit (no damage). They would retaliate against tenants who complained about problems.",1,1,1,1,1
4088,ALINA JAWAID,TORONTO,ONTARIO,M5V 4A9,CA,Great Landlord,5,5,5,5,5
4089,MUSLEM MUSLEM,MISSISSAUGA,ONTARIO,L5B 2H5,CA,"I currently reside in an apartment 607-2542 Argyle Rd , Mississauga 
owned by a friend of mine. However, he has not fulfilled his obligations as a landlord by neglecting to repair the kitchen and dishwasher. Additionally, he had promised me a minimum three-year lease, which I trusted and consequently signed a one-year contract. To my dismay, he offered the apartment for sale only two months after I moved in. Prior to this, I had a comfortable living situation with a landlord who never caused any issues. My friend, the current owner of the apartment, had contacted me on multiple occasions, encouraging me to move in, which I eventually did, resulting in the situation I am currently facing.",1,1,1,4,1
4090,BENI COLAILLIO,HAMILTON,ONTARIO,L8K 1X4,CA,"This landlord is horrible, everything from removing the door off of a senior tenants unit, to breaking into tenant apartments and stealing court documents or taking pictures of personal property to later utilize against them. He has also assaulted or threatened life on tenants. Takes forever to repair anything, black mold in units and he just says to clean it with bleach  he is currently in the process of renovicting many tenants so that he can then transform the building into Air Bnb units. Locked out buzzer system out .... etc etc. This list goes on amd on with him avoid this landlord like the plague",1,3,1,1,1
4091,SKYLINE LIVING,LAKE COUNTRY,BRITISH COLUMBIA,V4V2P4,CA,"Apartment building in Lake Country BC

Repair: Appliances are over 10 years old and the landlord refuses to replace them. I have been without the use of appliances for a week at a time. I have called for repairs 4-5 times on EACH major appliance in my 3 year tenacy. Also the air conditioner can no longer keep up, repair refused. The low budget laminate flooring is peeling off the floor.

Health & safety: I have been verbally and physically assaulted by a neighbour several times and the landlord refuses to acknowledge responsibility says it’s an RCMP matter.

Rental Stability
During COVID I was asked to sign a new 18 month lease with a rent increase. I refused. I was then issued a notice of rent increase. I refused to sign it. The management have falsified and exaggerated noise complaints about my infant children. We were given an option to move to a different unit with a rent increase of $500 or face eviction. Eviction was served and disputed. The management exaggerated and gave false documents and testimony during the hearing. 

Tenant privacy 
I have caught the resident manager hovering outside my unit door on numerous occasions. My family are being watched on the CCTV cameras. Once my 6 year old stood on the lobby couch with his shoes and I was emailed a clip of video along with a complaint. My wife accidentally dropped a shopping receipt while taking out the garbage, the receipt was picked up by the RM and shoved under our door. 

Respect rating
Managers are short, abrupt, disrespectful, dishonest, unprofessional, unapproachable and Narcissistic. Once my wife locked herself out and the RM could see her knocking on the glass but walked through the lobby and refused to open the door for her.",1,1,1,1,1
4092,BOLD PROPERTY MANAGEMENT LTD,CALGARY,ALBERTA,T2S 0B4,CA,"I have lived at this apartment building for 3 yrs now and although I like living here there are definitely issues, some of these issues include: the lack of sound proof walls unfortunately you can hear everything and if you have crappy neighbours that are constantly causing a disturbance it makes living below them impossible. You can’t control the heat in the apartment, it’s controlled/turned on & off by the heating system and that’s only if the furnaces work and aren’t broken which then takes forever to get fixed or if they even remember to come back and fix them. Lack of landlord taking situations seriously like noisy neighbours constantly causing problems, you email the landlord about it but all they tell you is to call the non emergency line and make noise complaints, which is annoying seeing as the landlord should be giving the noisy neighbours a talking too and if that’s not going to solve the problem then give them 3 warnings to fix the issue or face eviction.",1,2,3,4,4
4093,SCOTT LEE (SUNG KI LEE),TORONTO,ALBERTA,M5B 2P4,CA,"Scott lee, is a very rude and disrespectful landlord. We are always very polite while talking to him but he is always rude and disrespectful towards us. I would never choose such a rude landlord in the future!",1,1,1,1,1
